name,label,label::French,region,village_name,supervisor
105,00105 - Tadeta Moussa,00105 - Tadeta Moussa,MARADI,Tadeta Moussa,sup17
306,00306 - Tafarki,00306 - Tafarki,MARADI,Tafarki,sup15
261,00261 - Tagaye,00261 - Tagaye,MARADI,Tagaye,sup23
215,00215 - Tagaza,00215 - Tagaza,MARADI,Tagaza,sup21
10,00010 - Takalmawa,00010 - Takalmawa,MARADI,Takalmawa,sup29
196,00196 - Takasaba,00196 - Takasaba,MARADI,Takasaba,sup30
250,00250 - Tamindaou Zanfaraoua,00250 - Tamindaou Zanfaraoua,MARADI,Tamindaou Zanfaraoua,sup19
170,00170 - Taoude,00170 - Taoude,MARADI,Taoude,sup18
303,00303 - Tarfet,00303 - Tarfet,MARADI,Tarfet,sup16
249,00249 - Tarin Biri,00249 - Tarin Biri,MARADI,Tarin Biri,sup16
65,00065 - Tchintchya,00065 - Tchintchya,MARADI,Tchintchya,sup26
56,00056 - Tchololoua,00056 - Tchololoua,MARADI,Tchololoua,sup27
297,00297 - Tchoutchana,00297 - Tchoutchana,MARADI,Tchoutchana,sup26
46,00046 - Tokou Kala,00046 - Tokou Kala,MARADI,Tokou Kala,sup26
178,00178 - Touchin Guina,00178 - Touchin Guina,MARADI,Touchin Guina,sup19
202,00202 - Toudou,00202 - Toudou,MARADI,Toudou,sup22
79,00079 - Tounafafi Zougou,00079 - Tounafafi Zougou,MARADI,Tounafafi Zougou,sup26
127,00127 - Tsamia Bakoy,00127 - Tsamia Bakoy,MARADI,Tsamia Bakoy,sup25
50,00050 - Ulyami Sami,00050 - Ulyami Sami,MARADI,Ulyami Sami,sup26
209,00209 - Waga Waga,00209 - Waga Waga,MARADI,Waga Waga,sup28
267,00267 - Warzo,00267 - Warzo,MARADI,Warzo,sup21
228,00228 - Yachin Gila,00228 - Yachin Gila,MARADI,Yachin Gila,sup25
223,00223 - Yamboye,00223 - Yamboye,MARADI,Yamboye,sup22
289,00289 - Yankouarou,00289 - Yankouarou,MARADI,Yankouarou ,sup23
151,00151 - Zakin Guichiri,00151 - Zakin Guichiri,MARADI,Zakin Guichiri,sup17
