name,village_name,region,department,commune,supervisor
253,Malamey,MARADI,mayahi,mayahi_north,sup22
274,Malloumey,MARADI,mayahi,mayahi_north,sup23
139,Marakye,MARADI,mayahi,mayahi_north,sup28
173,Mariga Soufoua,MARADI,guidan_roumji,guidan_roumji,sup18
29,Masko,MARADI,guidan_roumji,guidan_roumji,sup18
32,May Dan Sanfo,MARADI,gazaoua,gazaoua,sup14
161,May Gaoude,MARADI,gazaoua,gazaoua,sup14
299,Maylafia,MARADI,bermo,bermo,sup16
120,Maymoulaki,MARADI,dakoro,bader_goula,sup15
304,Mayrakomma,MARADI,bermo,bermo,sup16
229,Maysintchia,MARADI,tessaoua,ourafane_north,sup25
206,Maysirda,MARADI,tessaoua,ourafane_south,sup28
238,Mazaouda,MARADI,dakoro,dan_goulbi,sup22
13,Mourin Dan Farou,MARADI,gazaoua,gazaoua,sup29
147,Nagouida,MARADI,dakoro,dan_goulbi,sup17
39,Naki Fada,MARADI,aguie,tchadoua,sup30
222,Nwalla Dan Marke,MARADI,dakoro,dakoro_south,sup26
240,Obandawaki Nasale,MARADI,dakoro,dan_goulbi,sup26
219,Oubandawaki,MARADI,mayahi,mayahi_north,sup28
294,Radi,MARADI,mayahi,mayahi,sup20
122,Rahim Damou,MARADI,dakoro,bader_goula,sup15
26,Rigia Riga,MARADI,gazaoua,gazaoua,sup14
91,Riskiskama Mandou,MARADI,dakoro,kornaka,sup19
166,Robibya,MARADI,gazaoua,gazaoua,sup14
214,Rouan Danya,MARADI,mayahi,mayahi,sup21
109,Roumawa,MARADI,aguie,tchadoua,sup14
195,Roumbou Tchike,MARADI,aguie,tchadoua,sup30
210,Sabare,MARADI,tessaoua,ourafane_south,sup28
148,Sae Rankama,MARADI,dakoro,dan_goulbi,sup17
254,Saje Biri,MARADI,mayahi,mayahi_north,sup22
83,Salifawa,MARADI,mayahi,mayahi,sup21
153,Samia Bakoye,MARADI,gazaoua,gazaoua,sup14
84,San Gayou,MARADI,dakoro,dakoro_south,sup26
107,Sansanawa,MARADI,mayahi,mayahi_north,sup22
60,Sansanawa Wada,MARADI,tessaoua,ourafane_south,sup28
312,Soumba,MARADI,dakoro,kornaka,sup17
12,Soumbitta,MARADI,gazaoua,gazaoua,sup29
283,Tabani,MARADI,mayahi,mayahi_north,sup22
290,Tabazo,MARADI,mayahi,mayahi,sup20
105,Tadeta Moussa,MARADI,mayahi,mayahi_middle,sup17
306,Tafarki,MARADI,dakoro,bader_goula,sup15
261,Tagaye,MARADI,mayahi,mayahi_west,sup23
215,Tagaza,MARADI,mayahi,mayahi,sup21
10,Takalmawa,MARADI,aguie,tchadoua,sup29
196,Takasaba,MARADI,aguie,tchadoua,sup30
250,Tamindaou Zanfaraoua,MARADI,dakoro,dan_goulbi,sup19
170,Taoude,MARADI,guidan_roumji,guidan_roumji,sup18
303,Tarfet,MARADI,bermo,bermo,sup16
249,Tarin Biri,MARADI,bermo,bermo,sup16
65,Tchintchya,MARADI,dakoro,dakoro_south,sup26
56,Tchololoua,MARADI,mayahi,mayahi_south,sup27
297,Tchoutchana,MARADI,dakoro,dakoro_south,sup26
46,Tokou Kala,MARADI,dakoro,dakoro_south,sup26
178,Touchin Guina,MARADI,dakoro,kornaka,sup19
202,Toudou,MARADI,mayahi,mayahi_north,sup22
79,Tounafafi Zougou,MARADI,dakoro,dakoro_north,sup26
127,Tsamia Bakoy,MARADI,tessaoua,ourafane_north,sup25
50,Ulyami Sami,MARADI,dakoro,dakoro_south,sup26
209,Waga Waga,MARADI,tessaoua,ourafane_south,sup28
267,Warzo,MARADI,mayahi,mayahi_middle,sup21
228,Yachin Gila,MARADI,tessaoua,ourafane_north,sup25
223,Yamboye,MARADI,mayahi,mayahi_north,sup22
289,Yankouarou,MARADI,mayahi,mayahi,sup23
151,Zakin Guichiri,MARADI,dakoro,dan_goulbi,sup17
